ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
Protozoa_ASV921,0.00143246,0,0,0.001718951,0,0,0.003151411,0,0.003151411,0.003294657,0,0
Protozoa_ASV221,0,0.002291935,0.002291935,0.003867641,0,0.00071623,0,0,0.00071623,0.000286492,0.000143246,0
Protozoa_ASV298,0,0.00143246,0.001145968,0.002148689,0.00143246,0.00071623,0.002148689,0.002005443,0.001862197,0.00071623,0.001718951,0.001862197
Protozoa_ASV1489,0,0,0,0,0.001289214,0,0.001002722,0.000429738,0,0.000572984,0.001718951,0
Protozoa_ASV360,0,0,0.000572984,0,0.000143246,0,0.000286492,0.002005443,0.000429738,0,0,0
Protozoa_ASV455,0,0,0.000143246,0.001289214,0,0,0.002864919,0,0.00071623,0,0,0.002435181
Protozoa_ASV320,0.002291935,0.00071623,0.00143246,0,0.000572984,0.000859476,0,0.002291935,0.002005443,0.00143246,0.001718951,0.000859476
Protozoa_ASV1031,0,0,0,0.000859476,0,0,0,0,0,0.001002722,0,0.002435181
Protozoa_ASV132,0,0.002291935,0.003437903,0,0.00143246,0.000286492,0.004583871,0.001575705,0,0.001145968,0.001718951,0.001002722
Protozoa_ASV96,0.004010887,0.003294657,0.004583871,0.0053001,0.003294657,0.001718951,0.008308265,0.004440625,0.003294657,0.006302822,0.005156854,0.002578427
Protozoa_ASV54,0.008738003,0.033519553,0.007162298,0.005156854,0.008451511,0.416845724,0.007019052,0.005586592,0.007019052,0.008021773,0.018621974,0.002005443
Protozoa_ASV188,0.039965621,0.00673256,0.003151411,0,0.01733276,0.000859476,0.004297379,0.016473285,0.007305544,0.01948145,0.003437903,0.007735281
Protozoa_ASV241,0.001289214,0.003294657,0.00143246,0,0.001002722,0.000286492,0.000859476,0.000286492,0.000572984,0.00071623,0.001145968,0.002148689
Protozoa_ASV3,0.079071766,0.047557656,0.079215012,0.097550494,0.056725398,0.041111589,0.086090818,0.068614812,0.0601633,0.07964475,0.057728119,0.083082653
Protozoa_ASV388,0.003581149,0,0.00071623,0.000572984,0.001002722,0.000859476,0.002864919,0.00071623,0,0.002291935,0.000429738,0.001575705
Protozoa_ASV1445,0,0.00071623,0,0,0.000286492,0,0.001002722,0.001289214,0.000143246,0.00143246,0.001002722,0
Protozoa_ASV363,0,0.004870362,0.000859476,0.001289214,0.001862197,0.001145968,0.002578427,0.003008165,0.002005443,0.003437903,0.003151411,0.001718951
Protozoa_ASV1854,0.001145968,0,0,0,0.001575705,0,0.00071623,0,0.000143246,0.000859476,0,0
Protozoa_ASV72,0,0.004297379,0.005156854,0.003724395,0.005873084,0,0,0.006589314,0.007592036,0.005156854,0.004583871,0
Protozoa_ASV2910,0,0,0,0,0,0.007305544,0,0,0,0.004010887,0.007019052,0
Protozoa_ASV25,0.010886692,0.009597479,0.01346512,0.010027217,0.009310987,0.004870362,0.00601633,0.012892136,0.015757055,0.007162298,0.006302822,0.004870362
Protozoa_ASV1404,0.003724395,0,0,0,0.00071623,0,0,0.002721673,0.001289214,0.001862197,0.001718951,0
